Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,38,38,0,15,23
10,Success,42,31,4,10,32
10,Success,45,31,0,12,33
10,Success,51,22,4,13,38
10,Success,38,35,0,14,24
10,Success,50,27,2,11,39
10,Success,53,31,0,7,46
10,Success,49,22,5,12,37
10,Success,49,28,0,12,37
10,Success,50,29,0,9,41
10,Success,45,29,0,12,33
10,Success,52,29,0,10,42
10,Success,47,23,8,13,34
10,Success,52,25,0,15,37
10,Success,45,31,6,8,37
10,Success,45,37,0,11,34
10,Success,46,28,0,12,34
10,Success,45,37,0,5,40
10,Success,52,27,0,13,39
10,Success,47,25,0,12,35
10,Success,54,23,3,7,47
10,Success,49,27,0,12,37
10,Success,46,29,0,12,34
10,Success,47,26,0,12,35
10,Success,35,31,8,17,18
10,Success,43,32,0,12,31
10,Success,50,27,1,15,35
10,Success,45,33,0,12,33
10,Success,39,36,0,14,25
10,Success,49,28,0,9,40
10,Success,59,16,1,11,48
10,Success,40,36,0,16,24
10,Success,54,24,0,11,43
10,Success,48,27,0,14,34
10,Success,46,30,0,13,33
10,Success,43,31,5,12,31
10,Success,56,19,2,12,44
10,Success,42,33,0,11,31
10,Success,47,27,0,12,35
10,Success,51,24,2,13,38
10,Success,48,30,1,11,37
10,Success,48,26,1,12,36
10,Success,49,21,4,17,32
10,Success,48,21,5,15,33
10,Success,38,31,4,19,19
10,Success,49,30,0,12,37
10,Success,46,25,8,12,34
10,Success,45,33,6,7,38
10,Success,47,29,6,10,37
10,Success,49,21,0,14,35
10,Success,54,23,4,9,45
10,Success,47,27,4,9,38
10,Success,39,37,0,13,26
10,Success,51,28,0,10,41
10,Success,46,22,6,16,30
10,Success,46,31,0,12,34
10,Success,52,22,1,14,38
10,Success,43,37,0,8,35
10,Success,47,31,0,14,33
10,Success,45,36,0,5,40
10,Success,48,31,0,8,40
