Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,47,31,0,11,47.0
10.0,Success,0,49,32,0,11,49.0
10.0,Success,0,38,38,0,14,38.0
10.0,Success,0,47,26,2,16,47.0
10.0,Success,0,50,24,0,13,50.0
10.0,Success,0,48,28,1,13,48.0
10.0,Success,0,48,31,0,14,48.0
10.0,Success,0,57,12,2,14,56.99999999999999
10.0,Success,0,45,22,10,17,45.0
10.0,Success,0,51,24,1,14,51.0
10.0,Success,0,52,28,0,12,52.0
10.0,Success,0,53,21,1,12,53.0
10.0,Success,0,44,36,0,9,44.0
10.0,Success,0,48,16,11,16,48.0
10.0,Success,0,50,20,0,16,50.0
10.0,Success,0,50,28,5,11,50.0
10.0,Success,0,48,26,0,16,48.0
10.0,Success,0,46,27,5,11,46.0
10.0,Success,0,47,26,4,13,47.0
10.0,Success,0,51,27,6,7,51.0
10.0,Success,0,49,24,3,13,49.0
10.0,Success,0,55,23,0,11,55.00000000000001
10.0,Success,0,49,24,0,15,49.0
10.0,Success,0,47,33,0,14,47.0
10.0,Success,0,50,24,0,16,50.0
10.0,Success,0,50,25,0,15,50.0
10.0,Success,0,54,18,0,18,54.0
10.0,Success,0,50,30,0,8,50.0
10.0,Success,0,48,20,5,16,48.0
10.0,Success,0,45,30,1,13,45.0
10.0,Success,0,42,32,0,14,42.0
10.0,Success,0,48,27,0,15,48.0
10.0,Success,0,50,20,5,17,50.0
10.0,Success,0,36,36,6,12,36.0
10.0,Success,0,56,18,1,11,56.00000000000001
10.0,Success,0,47,28,0,12,47.0
10.0,Success,0,54,23,3,6,54.0
10.0,Success,0,49,24,0,16,49.0
10.0,Success,0,42,31,4,11,42.0
10.0,Success,0,44,28,0,19,44.0
10.0,Success,0,46,22,4,15,46.0
10.0,Success,0,42,33,0,11,42.0
10.0,Success,0,52,22,1,11,52.0
10.0,Success,0,42,38,0,17,42.0
10.0,Success,0,47,38,0,10,47.0
10.0,Success,0,41,39,0,6,41.0
10.0,Success,0,49,29,4,6,49.0
10.0,Success,0,42,35,1,11,42.0
10.0,Success,0,43,35,0,13,43.0
10.0,Success,0,48,22,5,13,48.0
10.0,Success,0,50,21,1,16,50.0
10.0,Success,0,47,20,6,17,47.0
10.0,Success,0,51,24,0,12,51.0
10.0,Success,0,46,25,1,16,46.0
10.0,Success,0,53,32,0,8,53.0
10.0,Success,0,42,33,0,12,42.0
10.0,Success,0,43,30,8,12,43.0
10.0,Success,0,49,24,1,13,49.0
10.0,Success,0,40,37,0,13,40.0
10.0,Success,0,48,30,0,8,48.0
10.0,Success,0,55,19,1,10,55.00000000000001
10.0,Success,0,47,25,0,12,47.0
10.0,Success,0,48,24,9,12,48.0
10.0,Success,0,46,25,6,15,46.0
10.0,Success,0,47,37,0,9,47.0
10.0,Success,0,53,24,4,11,53.0
10.0,Success,0,55,21,0,16,55.00000000000001
10.0,Success,0,47,25,2,14,47.0
10.0,Success,0,53,26,0,12,53.0
10.0,Success,0,49,33,0,9,49.0
10.0,Success,0,50,25,0,17,50.0
10.0,Success,0,49,28,2,9,49.0
10.0,Success,0,47,21,0,20,47.0
10.0,Success,0,49,23,6,14,49.0
10.0,Success,0,51,22,2,12,51.0
10.0,Success,0,42,34,0,13,42.0
10.0,Success,0,47,25,1,18,47.0
10.0,Success,0,54,28,0,11,54.0
10.0,Success,0,47,23,3,17,47.0
10.0,Success,0,51,30,0,8,51.0
10.0,Success,0,35,38,8,12,35.0
10.0,Success,0,54,25,4,9,54.0
10.0,Success,0,50,27,2,8,50.0
10.0,Success,0,49,31,0,11,49.0
10.0,Success,0,46,34,0,13,46.0
10.0,Success,0,42,32,0,15,42.0
10.0,Success,0,51,22,0,14,51.0
10.0,Success,0,50,32,0,7,50.0
10.0,Success,0,45,33,0,14,45.0
10.0,Success,0,51,28,0,11,51.0
10.0,Success,0,54,25,1,7,54.0
10.0,Success,0,47,31,0,13,47.0
10.0,Success,0,48,21,8,16,48.0
10.0,Success,0,54,24,0,13,54.0
10.0,Success,0,50,22,2,12,50.0
10.0,Success,0,56,22,0,9,56.00000000000001
10.0,Success,0,45,24,3,17,45.0
10.0,Success,0,50,20,0,16,50.0
10.0,Success,0,39,22,12,17,39.0
10.0,Success,0,55,29,0,6,55.00000000000001
10.0,Success,0,50,26,3,10,50.0
10.0,Success,0,52,24,2,13,52.0
10.0,Success,0,44,37,0,11,44.0
10.0,Success,0,45,21,6,20,45.0
10.0,Success,0,47,28,2,11,47.0
10.0,Success,0,46,22,7,16,46.0
10.0,Success,0,53,24,3,11,53.0
10.0,Success,0,42,38,0,14,42.0
10.0,Success,0,47,30,2,10,47.0
10.0,Success,0,49,25,0,11,49.0
10.0,Success,0,48,30,2,9,48.0
10.0,Success,0,51,28,0,12,51.0
10.0,Success,0,52,19,5,17,52.0
10.0,Success,0,54,22,0,11,54.0
10.0,Success,0,50,25,6,10,50.0
10.0,Success,0,47,28,0,12,47.0
10.0,Success,0,49,24,2,13,49.0
10.0,Success,0,51,22,0,14,51.0
10.0,Success,0,60,18,0,7,60.0
10.0,Success,0,55,23,0,8,55.00000000000001
10.0,Success,0,47,33,0,12,47.0
10.0,Success,0,48,31,0,6,48.0
10.0,Success,0,43,29,1,16,43.0
10.0,Success,0,49,29,0,11,49.0
10.0,Success,0,44,31,0,13,44.0
10.0,Success,0,48,26,0,17,48.0
10.0,Success,0,44,25,9,11,44.0
10.0,Success,0,54,20,1,15,54.0
10.0,Success,0,42,32,0,16,42.0
10.0,Success,0,43,34,0,12,43.0
10.0,Success,0,44,32,0,17,44.0
10.0,Success,0,49,26,2,9,49.0
10.0,Success,0,52,22,5,9,52.0
10.0,Success,0,48,25,9,10,48.0
10.0,Success,0,39,25,4,19,39.0
10.0,Success,0,50,28,1,9,50.0
10.0,Success,0,50,25,8,10,50.0
10.0,Success,0,49,24,0,15,49.0
10.0,Success,0,56,25,0,9,56.00000000000001
10.0,Success,0,51,16,12,10,51.0
10.0,Success,0,51,28,0,9,51.0
10.0,Success,0,45,30,0,14,45.0
10.0,Success,0,43,26,3,19,43.0
10.0,Success,0,57,25,0,10,56.99999999999999
10.0,Success,0,44,28,0,15,44.0
10.0,Success,0,39,32,2,14,39.0
10.0,Success,0,55,18,8,10,55.00000000000001
10.0,Success,0,53,20,0,13,53.0
10.0,Success,0,52,20,0,15,52.0
10.0,Success,0,58,21,3,8,57.99999999999999
10.0,Success,0,43,31,0,16,43.0
10.0,Success,0,50,21,6,15,50.0
10.0,Success,0,50,24,4,8,50.0
10.0,Success,0,40,33,0,16,40.0
10.0,Success,0,47,23,0,16,47.0
10.0,Success,0,49,29,0,9,49.0
10.0,Success,0,50,18,2,17,50.0
10.0,Success,0,50,23,3,12,50.0
10.0,Success,0,51,24,0,16,51.0
10.0,Success,0,44,23,5,16,44.0
10.0,Success,0,41,29,7,16,41.0
10.0,Success,0,48,31,2,10,48.0
10.0,Success,0,49,29,0,11,49.0
10.0,Success,0,54,14,7,13,54.0
10.0,Success,0,48,22,8,11,48.0
10.0,Success,0,60,19,1,11,60.0
10.0,Success,0,55,21,0,11,55.00000000000001
10.0,Success,0,52,28,0,7,52.0
10.0,Success,0,40,30,1,16,40.0
10.0,Success,0,51,26,3,9,51.0
10.0,Success,0,40,31,10,13,40.0
10.0,Success,0,44,26,5,15,44.0
10.0,Success,0,44,32,0,13,44.0
10.0,Success,0,43,28,3,13,43.0
10.0,Success,0,49,24,0,15,49.0
10.0,Success,0,41,34,3,11,41.0
10.0,Success,0,51,29,0,9,51.0
10.0,Success,0,45,40,0,5,45.0
10.0,Success,0,42,27,0,19,42.0
10.0,Success,0,45,25,5,17,45.0
10.0,Success,0,47,24,1,17,47.0
10.0,Success,0,49,34,3,9,49.0
10.0,Success,0,51,26,0,11,51.0
10.0,Success,0,44,25,6,18,44.0
10.0,Success,0,53,26,0,10,53.0
10.0,Success,0,49,28,3,12,49.0
10.0,Success,0,49,22,8,11,49.0
10.0,Success,0,32,33,12,16,32.0
10.0,Success,0,48,21,1,14,48.0
10.0,Success,0,48,20,2,19,48.0
10.0,Success,0,50,28,0,8,50.0
10.0,Success,0,53,23,0,14,53.0
10.0,Success,0,46,32,0,11,46.0
10.0,Success,0,45,36,0,7,45.0
10.0,Success,0,41,28,12,13,41.0
10.0,Success,0,49,29,0,12,49.0
10.0,Success,0,48,31,0,11,48.0
10.0,Success,0,53,28,0,9,53.0
10.0,Success,0,39,35,3,13,39.0
10.0,Success,0,44,35,0,9,44.0
10.0,Success,0,50,22,0,12,50.0
10.0,Success,0,56,26,0,6,56.00000000000001
10.0,Success,0,45,33,0,10,45.0
10.0,Success,0,45,27,5,16,45.0
10.0,Success,0,48,24,4,12,48.0
10.0,Success,0,48,25,6,11,48.0
10.0,Success,0,42,30,3,16,42.0
10.0,Success,0,54,22,0,12,54.0
10.0,Success,0,48,29,0,9,48.0
10.0,Success,0,49,25,3,14,49.0
10.0,Success,0,45,34,0,10,45.0
10.0,Success,0,51,25,2,12,51.0
10.0,Success,0,58,17,3,12,57.99999999999999
10.0,Success,0,47,21,14,8,47.0
10.0,Success,0,47,26,1,14,47.0
10.0,Success,0,41,38,0,7,41.0
10.0,Success,0,53,15,2,12,53.0
10.0,Success,0,53,26,0,11,53.0
10.0,Success,0,55,24,3,6,55.00000000000001
10.0,Success,0,47,30,0,11,47.0
10.0,Success,0,54,25,1,7,54.0
10.0,Success,0,54,24,1,8,54.0
10.0,Success,0,52,27,3,11,52.0
10.0,Success,0,49,23,5,12,49.0
10.0,Success,0,51,25,0,12,51.0
10.0,Success,0,58,18,0,10,57.99999999999999
10.0,Success,0,46,25,0,17,46.0
10.0,Success,0,42,29,6,14,42.0
10.0,Success,0,49,30,0,12,49.0
10.0,Success,0,53,23,0,12,53.0
10.0,Success,0,61,20,0,11,61.0
10.0,Success,0,53,25,0,9,53.0
10.0,Success,0,43,25,7,11,43.0
10.0,Success,0,51,30,1,8,51.0
10.0,Success,0,46,32,0,11,46.0
10.0,Success,0,52,19,4,17,52.0
10.0,Success,0,50,27,0,11,50.0
10.0,Success,0,47,33,0,10,47.0
10.0,Success,0,50,22,4,16,50.0
10.0,Success,0,51,24,0,12,51.0
10.0,Success,0,56,23,0,9,56.00000000000001
10.0,Success,0,43,39,0,9,43.0
10.0,Success,0,51,28,0,10,51.0
10.0,Success,0,46,31,0,13,46.0
