Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,44,33,0,12,44
10,Success,46,30,5,8,46
10,Success,49,28,0,15,49
10,Success,41,40,0,13,41
10,Success,51,30,0,8,51
10,Success,46,33,3,11,46
10,Success,42,33,0,13,42
10,Success,55,25,0,11,55
10,Success,41,25,6,19,41
10,Success,49,31,0,8,49
10,Success,44,26,0,15,44
10,Success,49,19,11,13,49
10,Success,45,25,0,21,45
10,Success,52,26,0,10,52
10,Success,45,34,0,13,45
10,Success,48,23,2,13,48
10,Success,53,20,6,7,53
10,Success,50,33,0,7,50
10,Success,44,30,2,12,44
10,Success,49,25,2,16,49
10,Success,44,26,5,14,44
10,Success,55,24,0,9,55
10,Success,47,34,0,7,47
10,Success,35,29,8,16,35
10,Success,53,22,0,10,53
10,Success,52,30,0,11,52
10,Success,53,29,0,9,53
10,Success,46,27,0,17,46
10,Success,50,25,0,12,50
10,Success,49,25,0,14,49
10,Success,53,24,0,12,53
10,Success,46,29,0,12,46
10,Success,49,25,0,13,49
10,Success,50,26,1,12,50
10,Success,53,22,0,16,53
10,Success,47,30,0,11,47
10,Success,52,24,0,15,52
10,Success,53,21,3,12,53
10,Success,44,31,3,9,44
10,Success,47,24,0,14,47
10,Success,43,34,0,16,43
10,Success,46,22,5,15,46
10,Success,46,33,0,13,46
10,Success,51,23,2,13,51
10,Success,52,22,1,12,52
10,Success,51,29,0,9,51
10,Success,44,34,0,14,44
10,Success,44,29,11,7,44
10,Success,48,28,0,15,48
10,Success,48,26,6,11,48
10,Success,46,35,0,11,46
10,Success,51,21,2,9,51
10,Success,49,31,0,11,49
10,Success,51,29,4,9,51
10,Success,46,35,0,10,46
10,Success,50,19,0,22,50
10,Success,49,30,3,9,49
10,Success,42,31,0,18,42
10,Success,46,30,0,13,46
10,Success,50,21,7,12,50
10,Success,48,31,0,13,48
10,Success,45,33,0,11,45
10,Success,39,37,4,11,39
10,Success,48,28,0,11,48
10,Success,43,35,7,9,43
10,Success,45,28,0,14,45
10,Success,48,23,5,14,48
10,Success,50,19,5,16,50
10,Success,48,32,0,10,48
10,Success,53,22,3,12,53
10,Success,54,22,0,14,54
10,Success,49,28,0,15,49
10,Success,42,33,0,16,42
10,Success,51,26,0,10,51
10,Success,49,29,0,10,49
10,Success,57,22,0,9,57
10,Success,53,22,0,12,53
10,Success,51,28,0,12,51
10,Success,44,36,0,9,44
10,Success,46,31,0,14,46
10,Success,49,20,5,16,49
10,Success,57,23,2,6,57
10,Success,54,21,2,10,54
10,Success,46,26,1,15,46
10,Success,44,24,11,13,44
10,Success,57,16,2,12,57
10,Success,44,18,2,23,44
10,Success,54,24,0,14,54
