eventId,numInvited,numEventOrganizers,ParticipationRate,eventOutcomeModel2
290025421,42,1,0.0238,0
290064134,42,1,0.0238,0
290107103,42,1,0.0238,0
290125555,42,1,0.0238,0
290192665,42,1,0.0238,0
290333864,42,1,0.0238,0
290491763,80,2,0.4625,1
290796396,80,2,0.2625,1
291066829,80,2,0.4125,1
291569210,80,2,0.2125,1
291958121,80,1,0.1875,1
292187576,80,2,0.2125,1
292486308,80,2,0.2875,1
292701748,80,2,0.2250,1
292994305,10,1,0.0000,0
292994522,11,1,0.0000,0
293044653,12,1,0.0000,0
293075051,80,2,0.3500,1
293075115,80,2,0.2500,1
293077306,9,1,0.0000,0
293077547,12,1,0.3333,0
293099301,12,1,0.0000,0
293145512,9,1,0.0000,0
293320320,12,1,0.0000,0
293380036,12,1,0.0833,0
293401774,12,1,0.0000,0
293526664,12,1,0.0000,0
293526685,12,1,0.0000,0
293649572,80,2,0.2375,1
293649653,80,2,0.2375,1
293649761,80,2,0.1875,1
293668875,12,1,0.0000,0
293737965,12,1,0.0000,0
293863461,9,1,0.7778,1
293882775,12,1,0.0000,0
293888492,10,1,0.1000,1
293991282,12,1,0.0000,0
294141070,12,1,0.0000,0
294672459,390,3,0.1256,1
294755323,80,2,0.2125,1
294884885,90,2,0.2889,1
295075438,150,1,0.1133,1
295272864,80,3,0.1750,1
295272942,80,2,0.1875,1
295272961,80,2,0.2125,1
295452090,90,2,0.1111,1
