Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
2.3800000000000003,100,100.0,0.0,47.71,Success
2.3800000000000003,100,100.0,0.0,48.1,Success
2.3800000000000003,100,100.0,0.0,47.19,Success
2.3800000000000003,100,100.0,0.0,48.05,Success
2.3800000000000003,100,100.0,0.0,48.07,Success
2.3800000000000003,100,100.0,0.0,48.33,Success
2.3800000000000003,100,100.0,0.0,48.4,Success
2.3800000000000003,100,100.0,0.0,48.43,Success
2.3800000000000003,100,100.0,0.0,47.48,Success
2.3800000000000003,100,100.0,0.0,47.69,Success
2.3800000000000003,100,100.0,0.0,46.9,Success
88.33,100,0.0,100.0,47.88,Failed
2.3800000000000003,100,100.0,0.0,48.38,Success
5.71,100,100.0,0.0,48.54,Success
14.67,100,100.0,0.0,48.13,Success
40.0,100,86.0,14.0,49.65,Success
10.83,100,100.0,0.0,50.33,Success
10.71,100,100.0,0.0,49.36,Success
13.54,100,100.0,0.0,48.71,Success
20.830000000000002,100,100.0,0.0,48.93,Success
2.3800000000000003,100,100.0,0.0,48.36,Success
2.3800000000000003,100,100.0,0.0,47.76,Success
22.5,100,100.0,0.0,48.86,Success
27.500000000000004,100,100.0,0.0,49.55,Success
37.5,100,100.0,0.0,49.78,Success
2.3800000000000003,100,100.0,0.0,48.71,Success
2.3800000000000003,100,100.0,0.0,47.43,Success
2.3800000000000003,100,100.0,0.0,47.62,Success
2.3800000000000003,100,100.0,0.0,49.12,Success
2.3800000000000003,100,100.0,0.0,47.48,Success
2.3800000000000003,100,100.0,0.0,48.48,Success
2.3800000000000003,100,100.0,0.0,47.67,Success
2.3800000000000003,100,100.0,0.0,47.31,Success
13.33,100,100.0,0.0,48.32,Success
2.3800000000000003,100,100.0,0.0,48.33,Success
2.3800000000000003,100,100.0,0.0,48.12,Success
2.3800000000000003,100,100.0,0.0,49.29,Success
2.3800000000000003,100,100.0,0.0,47.83,Success
15.0,100,100.0,0.0,48.05,Success
3.3300000000000005,100,100.0,0.0,49.03,Success
30.0,100,100.0,0.0,49.5,Success
23.75,100,100.0,0.0,48.93,Success
27.500000000000004,100,100.0,0.0,49.3,Success
2.73,100,100.0,0.0,49.22,Success
2.3800000000000003,100,100.0,0.0,47.95,Success
2.3800000000000003,100,100.0,0.0,47.55,Success
1.79,100,100.0,0.0,48.8,Success
8.64,100,100.0,0.0,49.44,Success
5.33,100,100.0,0.0,48.71,Success
7.249999999999999,100,100.0,0.0,48.38,Success
28.999999999999996,100,100.0,0.0,48.93,Success
2.3800000000000003,100,100.0,0.0,47.45,Success
2.3800000000000003,100,100.0,0.0,48.76,Success
2.3800000000000003,100,100.0,0.0,48.69,Success
2.3800000000000003,100,100.0,0.0,47.4,Success
2.3800000000000003,100,100.0,0.0,46.9,Success
2.3800000000000003,100,100.0,0.0,48.36,Success
2.3800000000000003,100,100.0,0.0,47.48,Success
7.5,100,100.0,0.0,49.32,Success
8.33,100,100.0,0.0,47.92,Success
7.5,100,100.0,0.0,48.26,Success
2.3800000000000003,100,100.0,0.0,48.05,Success
2.3800000000000003,100,100.0,0.0,48.5,Success
2.3800000000000003,100,100.0,0.0,48.19,Success
50.0,100,64.0,36.0,48.9,Failed
28.33,100,100.0,0.0,48.17,Success
7.5,100,100.0,0.0,48.55,Success
2.3800000000000003,100,100.0,0.0,48.17,Success
2.3800000000000003,100,100.0,0.0,48.55,Success
5.71,100,100.0,0.0,47.94,Success
2.3800000000000003,100,100.0,0.0,47.93,Success
2.3800000000000003,100,100.0,0.0,48.19,Success
93.33,100,0.0,100.0,50.13,Failed
2.3800000000000003,100,100.0,0.0,49.1,Success
2.3800000000000003,100,100.0,0.0,47.6,Success
2.3800000000000003,100,100.0,0.0,47.6,Success
2.3800000000000003,100,100.0,0.0,48.07,Success
2.3800000000000003,100,100.0,0.0,48.02,Success
2.3800000000000003,100,100.0,0.0,48.98,Success
20.0,100,100.0,0.0,49.49,Success
2.3800000000000003,100,100.0,0.0,48.24,Success
2.3800000000000003,100,100.0,0.0,49.17,Success
2.3800000000000003,100,100.0,0.0,48.79,Success
2.3800000000000003,100,100.0,0.0,48.69,Success
2.3800000000000003,100,100.0,0.0,47.81,Success
2.3800000000000003,100,100.0,0.0,47.98,Success
2.3800000000000003,100,100.0,0.0,48.24,Success
2.3800000000000003,100,100.0,0.0,48.29,Success
2.3800000000000003,100,100.0,0.0,49.1,Success
2.3800000000000003,100,100.0,0.0,47.64,Success
2.3800000000000003,100,100.0,0.0,48.71,Success
2.3800000000000003,100,100.0,0.0,47.67,Success
2.3800000000000003,100,100.0,0.0,48.21,Success
2.3800000000000003,100,100.0,0.0,47.95,Success
2.3800000000000003,100,100.0,0.0,47.76,Success
2.3800000000000003,100,100.0,0.0,47.93,Success
2.3800000000000003,100,100.0,0.0,48.71,Success
2.3800000000000003,100,100.0,0.0,47.86,Success
10.71,100,100.0,0.0,48.21,Success
2.3800000000000003,100,100.0,0.0,47.83,Success
2.3800000000000003,100,100.0,0.0,47.71,Success
2.3800000000000003,100,100.0,0.0,46.93,Success
2.3800000000000003,100,100.0,0.0,47.17,Success
2.3800000000000003,100,100.0,0.0,48.74,Success
2.3800000000000003,100,100.0,0.0,48.19,Success
2.3800000000000003,100,100.0,0.0,47.64,Success
2.3800000000000003,100,100.0,0.0,47.95,Success
2.3800000000000003,100,100.0,0.0,48.74,Success
2.3800000000000003,100,100.0,0.0,47.83,Success
13.750000000000002,100,100.0,0.0,49.45,Success
2.3800000000000003,100,100.0,0.0,49.24,Success
2.3800000000000003,100,100.0,0.0,48.67,Success
17.5,100,100.0,0.0,50.06,Success
2.3800000000000003,100,100.0,0.0,47.62,Success
2.3800000000000003,100,100.0,0.0,48.1,Success
2.3800000000000003,100,100.0,0.0,49.24,Success
2.3800000000000003,100,100.0,0.0,48.31,Success
2.3800000000000003,100,100.0,0.0,47.5,Success
